-- =============================================================================
-- Qahse.WindL v1.0.0 .dat user wind speed time-series input
-- =============================================================================
3 nComp   - Number of velocity components in the file
2 nPoints - Number of time series points in the file
2 RefPtID - Reference point id (1-nPoints)
Pointyi Pointzi
(m)     (m)
0 30
0 76
-------- Time Series -----------------------------------------------------------
ElapsedTime Point01u Point01v Point01w Point02u Point02v Point02w
!Begin      - 鏁版嵁璇诲彇寮€濮嬫爣璁帮紝璇峰嬁鍒犻櫎
2.7999999999999998 8.5487000000000002 -7.992 -1.6893 10.3255 -5.5987999999999998 1.5845
2.8500000000000001 8.7012999999999998 -7.9013999999999998 -1.6684000000000001 10.434200000000001 -5.5277000000000003 1.5806
2.8999999999999999 8.5827000000000009 -7.9905999999999997 -1.653 10.306100000000001 -5.6247999999999996 1.6024
2.9500000000000002 8.5068000000000001 -8.0559999999999992 -1.6571 10.2355 -5.6711999999999998 1.6056999999999999
3 8.4390999999999998 -8.1161999999999992 -1.6733 10.172000000000001 -5.7321999999999997 1.6006
3.0499999999999998 8.3201000000000001 -8.2094000000000005 -1.7249000000000001 10.0779 -5.7798999999999996 1.6063000000000001
3.1000000000000001 8.4047000000000001 -8.1050000000000004 -1.7087000000000001 10.180899999999999 -5.6829000000000001 1.5979000000000001
3.1499999999999999 8.4614999999999991 -8.0580999999999996 -1.7272000000000001 10.267799999999999 -5.6271000000000004 1.5948
3.2000000000000002 8.4901999999999997 -8.0670999999999999 -1.7259 10.2874 -5.6262999999999996 1.5939000000000001
3.25 8.5230999999999995 -8.0569000000000006 -1.7065999999999999 10.2919 -5.6264000000000003 1.5872999999999999
3.2999999999999998 8.4749999999999996 -8.0637000000000008 -1.6888000000000001 10.2646 -5.6776999999999997 1.5699000000000001
3.3500000000000001 8.4650999999999996 -8.0622000000000007 -1.6616 10.2699 -5.6776999999999997 1.5704
3.3999999999999999 8.4356000000000009 -8.0972000000000008 -1.6618999999999999 10.2502 -5.7027000000000001 1.5748
3.4500000000000002 8.4722000000000008 -8.0754000000000001 -1.6508 10.2623 -5.7126000000000001 1.5703
3.5 8.5399999999999991 -8.0180000000000007 -1.6173999999999999 10.2921 -5.6750999999999996 1.5636000000000001
3.5499999999999998 8.4316999999999993 -8.0794999999999995 -1.6201000000000001 10.199999999999999 -5.7281000000000004 1.5745
3.6000000000000001 8.4205000000000005 -8.0755999999999997 -1.6253 10.209899999999999 -5.7314999999999996 1.5629999999999999
3.6499999999999999 8.5075000000000003 -8.0454000000000008 -1.6318999999999999 10.2829 -5.6798999999999999 1.5744
3.7000000000000002 8.5260999999999996 -8.0355000000000008 -1.6395999999999999 10.3421 -5.6497999999999999 1.5669999999999999
3.75 8.6060999999999996 -7.9665999999999997 -1.6176999999999999 10.411300000000001 -5.6200999999999999 1.5597000000000001
3.7999999999999998 8.5251000000000001 -8.0403000000000002 -1.6227 10.366400000000001 -5.6582999999999997 1.5718000000000001
3.8500000000000001 8.7941000000000003 -7.8560999999999996 -1.5896999999999999 10.598100000000001 -5.5162000000000004 1.5558000000000001
3.8999999999999999 8.6264000000000003 -7.9478 -1.5553999999999999 10.445 -5.6430999999999996 1.5488
3.9500000000000002 8.6668000000000003 -7.9362000000000004 -1.5696000000000001 10.484 -5.6330999999999998 1.552
4 8.6316000000000006 -7.9893000000000001 -1.5952 10.428900000000001 -5.6622000000000003 1.5564
4.0499999999999998 8.7767999999999997 -7.8887 -1.5872999999999999 10.539899999999999 -5.5937999999999999 1.5488
4.0999999999999996 8.6799999999999997 -7.9457000000000004 -1.607 10.4933 -5.6081000000000003 1.5664
4.1500000000000004 8.7316000000000003 -7.9035000000000002 -1.6045 10.561199999999999 -5.5735000000000001 1.5606
4.2000000000000002 8.6542999999999992 -7.9763000000000002 -1.6276999999999999 10.498900000000001 -5.6330999999999998 1.5641
4.25 8.7460000000000004 -7.8948999999999998 -1.6020000000000001 10.5885 -5.5622999999999996 1.5474000000000001
4.2999999999999998 8.7782999999999998 -7.8912000000000004 -1.6304000000000001 10.6083 -5.5382999999999996 1.5403
4.3499999999999996 8.8012999999999995 -7.8701999999999996 -1.6443000000000001 10.638199999999999 -5.5221999999999998 1.5256000000000001
4.4000000000000004 8.7690000000000001 -7.8993000000000002 -1.6247 10.592000000000001 -5.5907 1.5189999999999999
4.4500000000000002 8.7315000000000005 -7.9276999999999997 -1.6028 10.5587 -5.6417000000000002 1.5159
4.5 8.7074999999999996 -7.9474999999999998 -1.6005 10.536099999999999 -5.6539999999999999 1.5185999999999999
4.5499999999999998 8.6847999999999992 -7.9545000000000003 -1.6128 10.5396 -5.6460999999999997 1.5237000000000001
4.5999999999999996 8.7616999999999994 -7.8964999999999996 -1.6032999999999999 10.6311 -5.5873999999999997 1.5219
4.6500000000000004 8.8318999999999992 -7.8315999999999999 -1.5759000000000001 10.7148 -5.5445000000000002 1.5085999999999999
4.7000000000000002 8.7974999999999994 -7.8708999999999998 -1.5883 10.7201 -5.5530999999999997 1.5095000000000001
4.75 8.7399000000000004 -7.9158999999999997 -1.5688 10.664999999999999 -5.6010999999999997 1.5123
4.7999999999999998 8.6915999999999993 -7.9377000000000004 -1.5291999999999999 10.6172 -5.6464999999999996 1.5086999999999999
4.8499999999999996 8.7620000000000005 -7.8611000000000004 -1.4894000000000001 10.648 -5.6143999999999998 1.4973000000000001
4.9000000000000004 8.7844999999999995 -7.8422999999999998 -1.4931000000000001 10.6633 -5.6147 1.4854000000000001
4.9500000000000002 8.7642000000000007 -7.8605 -1.4807999999999999 10.6081 -5.6344000000000003 1.494
5 8.7193000000000005 -7.9259000000000004 -1.4758 10.5442 -5.7003000000000004 1.5015000000000001
5.0499999999999998 8.7253000000000007 -7.9104000000000001 -1.4674 10.590400000000001 -5.6898 1.5034000000000001
